Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,NSLP Provision 2 or 3 School ,Charter School Number,Charter Funding Type,Low Grade,High Grade,Enrollment (K-12),Unadjusted Free Meal Count (K-12),Adjusted Free Meal Count (K-12),Adjusted Percent (%) Eligible Free (K-12),Unadjusted FRPM Count (K-12),Adjusted FRPM Count (K-12),Adjusted Percent (%) Eligible FRPM (K-12),Enrollment (Ages 5-17),Unadjusted Free Meal Count (Ages 5-17),Adjusted Free Meal Count (Ages 5-17),Adjusted Percent (%) Eligible Free (Ages 5-17),Unadjusted FRPM Count (Ages 5-17),Adjusted FRPM Count (Ages 5-17),Adjusted Percent (%) Eligible FRPM (Ages 5-17),2013-14 CALPADS Fall 1 Certification Status
2013-14,7,61796,126805,Contra Costa,West Contra Costa Unified,Richmond Charter Academy,N,1441,Directly funded,6,8,186,125,126,67.7%,161,162,87.1%,186,125,126,67.7%,161,162,87.1%,Y
2013-14,7,61796,730275,Contra Costa,West Contra Costa Unified,North Campus Continuation,N,,,9,12,182,116,117,64.3%,133,134,73.6%,149,95,96,64.4%,109,110,73.8%,Y
2013-14,7,61796,730291,Contra Costa,West Contra Costa Unified,Middle College High,N,,,9,12,275,103,104,37.8%,136,137,49.8%,271,102,103,38.0%,135,136,50.2%,Y
2013-14,7,61796,730325,Contra Costa,West Contra Costa Unified,Vista High (Alternative),N,,,K,12,416,213,214,51.4%,232,233,56.0%,257,111,112,43.6%,122,123,47.9%,Y
2013-14,7,61796,730598,Contra Costa,West Contra Costa Unified,Hercules High,N,,,9,12,1015,311,311,30.6%,430,430,42.4%,993,302,302,30.4%,418,418,42.1%,Y
2013-14,7,61796,732164,Contra Costa,West Contra Costa Unified,De Anza Senior High,N,,,9,12,1124,621,622,55.3%,791,792,70.5%,1097,605,606,55.2%,773,774,70.6%,Y
2013-14,7,61796,732941,Contra Costa,West Contra Costa Unified,El Cerrito Senior High,N,,,9,12,1341,564,565,42.1%,709,709,52.9%,1301,546,547,42.0%,691,691,53.1%,Y
2013-14,7,61796,733253,Contra Costa,West Contra Costa Unified,Gompers (Samuel) Continuation,Y,,,9,12,153,139,139,90.8%,146,146,95.4%,134,120,120,89.6%,127,127,94.8%,Y
2013-14,7,61796,733659,Contra Costa,West Contra Costa Unified,Kennedy High,Y,,,9,12,826,598,601,72.8%,658,659,79.8%,805,582,585,72.7%,640,641,79.6%,Y
2013-14,7,61796,735316,Contra Costa,West Contra Costa Unified,Pinole Valley High,N,,,9,12,1258,519,521,41.4%,707,708,56.3%,1229,509,510,41.5%,692,692,56.3%,Y
2013-14,7,61796,735902,Contra Costa,West Contra Costa Unified,Richmond High,Y,,,9,12,1491,1157,1157,77.6%,1323,1323,88.7%,1433,1119,1119,78.1%,1275,1275,89.0%,Y
2013-14,7,61796,6004600,Contra Costa,West Contra Costa Unified,Bayview Elementary,Y,,,K,6,697,547,548,78.6%,643,643,92.3%,673,531,532,79.0%,622,622,92.4%,Y
2013-14,7,61796,6004659,Contra Costa,West Contra Costa Unified,Collins Elementary,N,,,K,6,364,148,149,40.9%,191,192,52.7%,364,148,149,40.9%,191,192,52.7%,Y
2013-14,7,61796,6004667,Contra Costa,West Contra Costa Unified,Coronado Elementary,Y,,,K,6,457,391,391,85.6%,432,432,94.5%,442,377,377,85.3%,418,418,94.6%,Y
2013-14,7,61796,6004691,Contra Costa,West Contra Costa Unified,Dover Elementary,Y,,,K,6,772,605,608,78.8%,728,728,94.3%,749,587,590,78.8%,708,708,94.5%,Y
2013-14,7,61796,6004733,Contra Costa,West Contra Costa Unified,Ellerhorst Elementary,N,,,K,6,415,125,126,30.4%,172,172,41.4%,415,125,126,30.4%,172,172,41.4%,Y
2013-14,7,61796,6004741,Contra Costa,West Contra Costa Unified,Highland Elementary,Y,,,K,6,519,395,395,76.1%,472,472,90.9%,515,393,393,76.3%,468,468,90.9%,Y
2013-14,7,61796,6004758,Contra Costa,West Contra Costa Unified,Fairmont Elementary,N,,,K,6,572,316,317,55.4%,379,380,66.4%,572,316,317,55.4%,379,380,66.4%,Y
2013-14,7,61796,6004766,Contra Costa,West Contra Costa Unified,Ford Elementary,Y,,,K,6,491,379,379,77.2%,452,452,92.1%,471,369,369,78.3%,435,435,92.4%,Y
2013-14,7,61796,6004774,Contra Costa,West Contra Costa Unified,Grant Elementary,Y,,,K,6,579,499,501,86.5%,542,543,93.8%,576,497,499,86.6%,539,540,93.8%,Y
2013-14,7,61796,6004782,Contra Costa,West Contra Costa Unified,Harding Elementary,N,,,K,6,370,105,106,28.6%,130,130,35.1%,351,100,101,28.8%,124,124,35.3%,Y
2013-14,7,61796,6004808,Contra Costa,West Contra Costa Unified,Kensington Elementary,N,,,K,6,521,30,34,6.5%,41,42,8.1%,521,30,34,6.5%,41,42,8.1%,Y
2013-14,7,61796,6004824,Contra Costa,West Contra Costa Unified,Lake Elementary,Y,,,K,6,427,348,348,81.5%,408,408,95.6%,427,348,348,81.5%,408,408,95.6%,Y
2013-14,7,61796,6004832,Contra Costa,West Contra Costa Unified,Lincoln Elementary,Y,,,K,6,462,412,413,89.4%,436,437,94.6%,462,412,413,89.4%,436,437,94.6%,Y
2013-14,7,61796,6004840,Contra Costa,West Contra Costa Unified,Madera Elementary,N,,,K,6,543,80,80,14.7%,98,98,18.0%,543,80,80,14.7%,98,98,18.0%,Y
2013-14,7,61796,6004857,Contra Costa,West Contra Costa Unified,Mira Vista Elementary,N,,,K,8,546,278,280,51.3%,348,348,63.7%,542,277,279,51.5%,346,346,63.8%,Y
2013-14,7,61796,6004865,Contra Costa,West Contra Costa Unified,Montalvin Manor Elementary,Y,,,K,6,414,317,319,77.1%,385,385,93.0%,390,299,301,77.2%,363,363,93.1%,Y
2013-14,7,61796,6004873,Contra Costa,West Contra Costa Unified,Murphy Elementary,N,,,K,6,490,264,266,54.3%,324,326,66.5%,489,264,266,54.4%,324,326,66.7%,Y
2013-14,7,61796,6004881,Contra Costa,West Contra Costa Unified,Nystrom Elementary,Y,,,K,6,500,456,456,91.2%,480,480,96.0%,480,441,441,91.9%,462,462,96.3%,Y
2013-14,7,61796,6004899,Contra Costa,West Contra Costa Unified,Olinda Elementary,N,,,K,6,352,72,72,20.5%,98,98,27.8%,328,68,68,20.7%,91,91,27.7%,Y
2013-14,7,61796,6004907,Contra Costa,West Contra Costa Unified,Peres Elementary,Y,,,K,6,556,431,433,77.9%,433,435,78.2%,541,419,421,77.8%,421,423,78.2%,Y
2013-14,7,61796,6004915,Contra Costa,West Contra Costa Unified,King Elementary,Y,,,K,6,498,441,441,88.6%,480,480,96.4%,498,441,441,88.6%,480,480,96.4%,Y
2013-14,7,61796,6004931,Contra Costa,West Contra Costa Unified,Riverside Elementary,Y,,,K,6,424,326,326,76.9%,377,377,88.9%,423,325,325,76.8%,376,376,88.9%,Y
2013-14,7,61796,6004956,Contra Costa,West Contra Costa Unified,Shannon Elementary,N,,,K,6,352,195,196,55.7%,238,238,67.6%,324,187,188,58.0%,228,228,70.4%,Y
2013-14,7,61796,6004964,Contra Costa,West Contra Costa Unified,Sheldon Elementary,N,,,K,6,367,201,204,55.6%,251,251,68.4%,367,201,204,55.6%,251,251,68.4%,Y
2013-14,7,61796,6004972,Contra Costa,West Contra Costa Unified,Stege Elementary,Y,,,K,6,347,312,312,89.9%,340,340,98.0%,331,298,298,90.0%,325,325,98.2%,Y
2013-14,7,61796,6004980,Contra Costa,West Contra Costa Unified,Stewart Elementary,N,,,K,8,465,160,162,34.8%,212,213,45.8%,465,160,162,34.8%,212,213,45.8%,Y
2013-14,7,61796,6004998,Contra Costa,West Contra Costa Unified,Tara Hills Elementary,N,,,K,6,556,299,299,53.8%,407,407,73.2%,555,298,298,53.7%,406,406,73.2%,Y
2013-14,7,61796,6005003,Contra Costa,West Contra Costa Unified,Valley View Elementary,N,,,K,6,336,82,82,24.4%,135,135,40.2%,335,81,81,24.2%,134,134,40.0%,Y
2013-14,7,61796,6005011,Contra Costa,West Contra Costa Unified,Verde Elementary,Y,,,K,6,317,293,293,92.4%,309,309,97.5%,317,293,293,92.4%,309,309,97.5%,Y
2013-14,7,61796,6005037,Contra Costa,West Contra Costa Unified,Washington Elementary,N,,,K,6,479,266,266,55.5%,322,322,67.2%,479,266,266,55.5%,322,322,67.2%,Y
2013-14,7,61796,6005045,Contra Costa,West Contra Costa Unified,Wilson Elementary,Y,,,K,6,514,384,384,74.7%,452,452,87.9%,514,384,384,74.7%,452,452,87.9%,Y
2013-14,7,61796,6057210,Contra Costa,West Contra Costa Unified,Edward M. Downer Elementary,Y,,,K,6,679,597,598,88.1%,658,658,96.9%,655,576,577,88.1%,635,635,96.9%,Y
2013-14,7,61796,6057228,Contra Costa,West Contra Costa Unified,Helms Middle,Y,,,7,8,966,771,772,79.9%,890,890,92.1%,966,771,772,79.9%,890,890,92.1%,Y
2013-14,7,61796,6057236,Contra Costa,West Contra Costa Unified,Pinole Middle,N,,,7,8,629,332,332,52.8%,436,436,69.3%,629,332,332,52.8%,436,436,69.3%,Y
2013-14,7,61796,6057244,Contra Costa,West Contra Costa Unified,Portola Junior High,N,,,6,8,526,242,242,46.0%,309,309,58.7%,526,242,242,46.0%,309,309,58.7%,Y
2013-14,7,61796,6061170,Contra Costa,West Contra Costa Unified,Crespi Junior High,N,,,7,8,581,321,323,55.6%,421,422,72.6%,581,321,323,55.6%,421,422,72.6%,Y
2013-14,7,61796,6097141,Contra Costa,West Contra Costa Unified,Lupine Hills Elementary,N,,,K,5,399,139,140,35.1%,177,178,44.6%,399,139,140,35.1%,177,178,44.6%,Y
2013-14,7,61796,6099717,Contra Costa,West Contra Costa Unified,Ohlone Elementary,N,,,K,5,353,85,85,24.1%,112,112,31.7%,351,85,85,24.2%,112,112,31.9%,Y
2013-14,7,61796,6112015,Contra Costa,West Contra Costa Unified,Hanna Ranch Elementary,N,,,K,5,488,93,94,19.3%,127,128,26.2%,487,92,93,19.1%,126,127,26.1%,Y
2013-14,7,61796,6114086,Contra Costa,West Contra Costa Unified,Harbour Way Elementary Community Day,Y,,,K,8,3,3,3,100.0%,3,3,100.0%,3,3,3,100.0%,3,3,100.0%,Y
2013-14,7,61796,6114094,Contra Costa,West Contra Costa Unified,Cesar E. Chavez Elementary,Y,,,K,6,672,570,571,85.0%,646,646,96.1%,659,558,559,84.8%,634,634,96.2%,Y
2013-14,7,61796,6118368,Contra Costa,West Contra Costa Unified,Manzanita Middle,N,333,Directly funded,6,8,155,94,94,60.6%,125,125,80.6%,155,94,94,60.6%,125,125,80.6%,Y
2013-14,7,61796,6119515,Contra Costa,West Contra Costa Unified,Hercules Middle,N,,,6,8,673,204,204,30.3%,294,294,43.7%,673,204,204,30.3%,294,294,43.7%,Y
2013-14,7,61796,6120885,Contra Costa,West Contra Costa Unified,Lovonya DeJean Middle,Y,,,7,8,629,520,522,83.0%,589,590,93.8%,629,520,522,83.0%,589,590,93.8%,Y
2013-14,7,61804,1,Contra Costa,San Ramon Valley Unified,"Nonpublic, Nonsectarian Schools",N,,,,,15,4,4,26.7%,4,4,26.7%,10,4,4,40.0%,4,4,40.0%,Y
2013-14,7,61804,102566,Contra Costa,San Ramon Valley Unified,Hidden Hills Elementary,N,,,K,5,1077,29,29,2.7%,33,33,3.1%,1054,28,28,2.7%,32,32,3.0%,Y
2013-14,7,61804,108324,Contra Costa,San Ramon Valley Unified,Windemere Ranch Middle,N,,,6,8,1242,29,30,2.4%,40,41,3.3%,1242,29,30,2.4%,40,41,3.3%,Y
2013-14,7,61804,109173,Contra Costa,San Ramon Valley Unified,Quail Run Elementary,N,,,K,5,1059,79,79,7.5%,106,106,10.0%,1038,78,78,7.5%,105,105,10.1%,Y
2013-14,7,61804,113118,Contra Costa,San Ramon Valley Unified,Dougherty Valley High,N,,,9,12,2381,123,123,5.2%,172,172,7.2%,2330,114,114,4.9%,163,163,7.0%,Y
2013-14,7,61804,113589,Contra Costa,San Ramon Valley Unified,Live Oak Elementary,N,,,K,5,1133,36,36,3.2%,52,52,4.6%,1113,35,35,3.1%,51,51,4.6%,Y
2013-14,7,61804,116541,Contra Costa,San Ramon Valley Unified,Gale Ranch Middle,N,,,6,8,1033,65,65,6.3%,98,98,9.5%,1033,65,65,6.3%,98,98,9.5%,Y
2013-14,7,61804,119032,Contra Costa,San Ramon Valley Unified,Creekside Elementary,N,,,K,5,746,8,8,1.1%,10,10,1.3%,746,8,8,1.1%,10,10,1.3%,Y
2013-14,7,61804,730051,Contra Costa,San Ramon Valley Unified,California High,N,,,9,12,2605,98,100,3.8%,142,144,5.5%,2551,96,98,3.8%,139,141,5.5%,Y
2013-14,7,61804,730218,Contra Costa,San Ramon Valley Unified,Venture (Alternative),N,,,K,12,243,8,8,3.3%,9,9,3.7%,221,6,6,2.7%,7,7,3.2%,Y
2013-14,7,61804,734368,Contra Costa,San Ramon Valley Unified,Monte Vista High,N,,,9,12,2210,31,31,1.4%,36,36,1.6%,2151,31,31,1.4%,35,35,1.6%,Y
2013-14,7,61804,736504,Contra Costa,San Ramon Valley Unified,San Ramon Valley High,N,,,9,12,2204,36,36,1.6%,46,46,2.1%,2076,33,33,1.6%,42,42,2.0%,Y
2013-14,7,61804,736819,Contra Costa,San Ramon Valley Unified,Del Amigo High (Continuation),N,,,7,12,49,11,12,24.5%,13,14,28.6%,44,11,11,25.0%,13,13,29.5%,Y
2013-14,7,61804,6005060,Contra Costa,San Ramon Valley Unified,Alamo Elementary,N,,,K,5,333,7,7,2.1%,8,8,2.4%,333,7,7,2.1%,8,8,2.4%,Y
2013-14,7,61804,6005078,Contra Costa,San Ramon Valley Unified,Charlotte Wood Middle,N,,,6,8,1084,26,26,2.4%,34,34,3.1%,1084,26,26,2.4%,34,34,3.1%,Y
2013-14,7,61804,6005086,Contra Costa,San Ramon Valley Unified,Country Club Elementary,N,,,K,5,517,21,21,4.1%,28,28,5.4%,517,21,21,4.1%,28,28,5.4%,Y
2013-14,7,61804,6005094,Contra Costa,San Ramon Valley Unified,Green Valley Elementary,N,,,K,5,570,5,5,0.9%,6,6,1.1%,570,5,5,0.9%,6,6,1.1%,Y
2013-14,7,61804,6005102,Contra Costa,San Ramon Valley Unified,John Baldwin Elementary,N,,,K,5,539,8,8,1.5%,8,8,1.5%,517,8,8,1.5%,8,8,1.5%,Y
2013-14,7,61804,6005110,Contra Costa,San Ramon Valley Unified,Los Cerros Middle,N,,,6,8,657,16,16,2.4%,17,17,2.6%,657,16,16,2.4%,17,17,2.6%,Y
2013-14,7,61804,6005128,Contra Costa,San Ramon Valley Unified,Montair Elementary,N,,,K,5,572,13,13,2.3%,15,15,2.6%,555,13,13,2.3%,15,15,2.7%,Y
2013-14,7,61804,6005136,Contra Costa,San Ramon Valley Unified,Rancho Romero Elementary,N,,,K,5,518,5,5,1.0%,11,11,2.1%,518,5,5,1.0%,11,11,2.1%,Y
2013-14,7,61804,6005144,Contra Costa,San Ramon Valley Unified,Stone Valley Middle,N,,,6,8,607,10,10,1.6%,16,16,2.6%,607,10,10,1.6%,16,16,2.6%,Y
2013-14,7,61804,6005151,Contra Costa,San Ramon Valley Unified,Vista Grande Elementary,N,,,K,5,671,14,14,2.1%,16,16,2.4%,652,14,14,2.1%,16,16,2.5%,Y
2013-14,7,61804,6066591,Contra Costa,San Ramon Valley Unified,Neil A. Armstrong Elementary,N,,,K,5,630,22,22,3.5%,31,31,4.9%,609,22,22,3.6%,31,31,5.1%,Y
2013-14,7,61804,6071039,Contra Costa,San Ramon Valley Unified,Walt Disney Elementary,N,,,K,5,549,21,21,3.8%,29,29,5.3%,526,21,21,4.0%,29,29,5.5%,Y
2013-14,7,61804,6089130,Contra Costa,San Ramon Valley Unified,Twin Creeks Elementary,N,,,K,5,531,14,14,2.6%,27,27,5.1%,531,14,14,2.6%,27,27,5.1%,Y
2013-14,7,61804,6096036,Contra Costa,San Ramon Valley Unified,Greenbrook Elementary,N,,,K,5,642,12,12,1.9%,18,18,2.8%,642,12,12,1.9%,18,18,2.8%,Y
2013-14,7,61804,6097158,Contra Costa,San Ramon Valley Unified,Montevideo Elementary,N,,,K,5,671,31,31,4.6%,33,33,4.9%,671,31,31,4.6%,33,33,4.9%,Y
2013-14,7,61804,6097166,Contra Costa,San Ramon Valley Unified,Pine Valley Middle,N,,,6,8,953,55,55,5.8%,76,76,8.0%,953,55,55,5.8%,76,76,8.0%,Y
2013-14,7,61804,6100952,Contra Costa,San Ramon Valley Unified,Bollinger Canyon Elementary,N,,,K,5,569,9,9,1.6%,19,19,3.3%,569,9,9,1.6%,19,19,3.3%,Y
2013-14,7,61804,6108161,Contra Costa,San Ramon Valley Unified,Golden View Elementary,N,,,K,5,605,15,15,2.5%,24,24,4.0%,563,14,14,2.5%,22,22,3.9%,Y
2013-14,7,61804,6110449,Contra Costa,San Ramon Valley Unified,Sycamore Valley Elementary,N,,,K,5,652,5,5,0.8%,6,6,0.9%,652,5,5,0.8%,6,6,0.9%,Y
2013-14,7,61804,6113336,Contra Costa,San Ramon Valley Unified,Iron Horse Middle,N,,,6,8,1032,30,31,3.0%,49,50,4.8%,1032,30,31,3.0%,49,50,4.8%,Y
2013-14,7,61804,6114326,Contra Costa,San Ramon Valley Unified,Tassajara Hills Elementary,N,,,K,5,562,12,12,2.1%,19,19,3.4%,562,12,12,2.1%,19,19,3.4%,Y
2013-14,7,61804,6117451,Contra Costa,San Ramon Valley Unified,Diablo Vista Middle,N,,,6,8,867,16,16,1.8%,24,24,2.8%,867,16,16,1.8%,24,24,2.8%,Y
2013-14,7,61804,6117485,Contra Costa,San Ramon Valley Unified,Coyote Creek Elementary,N,,,K,5,1070,37,37,3.5%,46,46,4.3%,1052,35,35,3.3%,44,44,4.2%,Y
2013-14,7,61812,1,Contra Costa,Walnut Creek Elementary,"Nonpublic, Nonsectarian Schools",N,,,,,3,0,0,0.0%,0,0,0.0%,3,0,0,0.0%,0,0,0.0%,Y
2013-14,7,61812,6005169,Contra Costa,Walnut Creek Elementary,Buena Vista Elementary,N,,,K,5,531,50,50,9.4%,60,60,11.3%,531,50,50,9.4%,60,60,11.3%,Y
2013-14,7,61812,6005177,Contra Costa,Walnut Creek Elementary,Indian Valley Elementary,N,,,K,5,492,34,34,6.9%,48,48,9.8%,486,33,33,6.8%,47,47,9.7%,Y
2013-14,7,61812,6005185,Contra Costa,Walnut Creek Elementary,Murwood Elementary,N,,,K,5,402,56,56,13.9%,66,66,16.4%,383,53,53,13.8%,63,63,16.4%,Y
2013-14,7,61812,6005193,Contra Costa,Walnut Creek Elementary,Parkmead Elementary,N,,,K,5,521,28,28,5.4%,33,33,6.3%,521,28,28,5.4%,33,33,6.3%,Y
2013-14,7,61812,6005235,Contra Costa,Walnut Creek Elementary,Walnut Creek Intermediate,N,,,6,8,1190,105,107,9.0%,137,138,11.6%,1190,105,107,9.0%,137,138,11.6%,Y
2013-14,7,61812,6005243,Contra Costa,Walnut Creek Elementary,Walnut Heights Elementary,N,,,K,5,418,25,25,6.0%,30,30,7.2%,400,25,25,6.3%,30,30,7.5%,Y
2013-14,7,76810,125815,Contra Costa,SBE - Synergy,Synergy,N,1372,Directly funded,6,12,201,119,120,59.7%,155,155,77.1%,201,119,120,59.7%,155,155,77.1%,Y
2013-14,8,10082,106625,Del Norte,Del Norte County Office of Education,Elk Creek,N,,,7,12,8,8,8,100.0%,8,8,100.0%,8,8,8,100.0%,8,8,100.0%,Y
2013-14,8,10082,106666,Del Norte,Del Norte County Office of Education,Bar-O,N,,,7,12,20,20,20,100.0%,20,20,100.0%,16,16,16,100.0%,16,16,100.0%,Y
2013-14,8,10082,109777,Del Norte,Del Norte County Office of Education,Klamath River Early College of the Redwoods,N,722,Directly funded,K,12,81,48,48,59.3%,58,58,71.6%,78,45,45,57.7%,55,55,70.5%,Y
2013-14,8,10082,114116,Del Norte,Del Norte County Office of Education,Uncharted Shores Academy,N,859,Directly funded,K,8,112,76,77,68.8%,76,77,68.8%,108,73,74,68.5%,73,74,68.5%,Y
2013-14,8,10082,830042,Del Norte,Del Norte County Office of Education,McCarthy Center/Court/Community,N,,,7,12,22,20,20,90.9%,20,20,90.9%,20,18,18,90.0%,18,18,90.0%,Y
2013-14,8,10082,830059,Del Norte,Del Norte County Office of Education,Castle Rock,N,358,Locally funded,K,12,304,180,181,59.5%,203,203,66.8%,263,149,150,57.0%,170,170,64.6%,Y
2013-14,8,10082,830067,Del Norte,Del Norte County Office of Education,Del Norte County Community Day (Secondary),N,,,7,12,6,4,4,66.7%,4,4,66.7%,6,4,4,66.7%,4,4,66.7%,Y
2013-14,8,61820,833004,Del Norte,Del Norte County Unified,Del Norte High,N,,,9,12,936,478,480,51.3%,548,548,58.5%,891,455,457,51.3%,520,520,58.4%,Y
2013-14,8,61820,836205,Del Norte,Del Norte County Unified,Sunset High,N,,,9,12,95,66,66,69.5%,70,70,73.7%,67,48,48,71.6%,51,51,76.1%,Y
2013-14,8,61820,6005375,Del Norte,Del Norte County Unified,Bess Maxwell Elementary,N,,,K,5,285,217,221,77.5%,245,249,87.4%,278,213,217,78.1%,239,243,87.4%,Y
2013-14,8,61820,6005383,Del Norte,Del Norte County Unified,Crescent Elk Middle,N,,,6,8,518,328,330,63.7%,363,364,70.3%,518,328,330,63.7%,363,364,70.3%,Y
2013-14,8,61820,6005391,Del Norte,Del Norte County Unified,Joe Hamilton Elementary,N,,,K,5,305,261,263,86.2%,275,277,90.8%,302,258,260,86.1%,272,274,90.7%,Y
2013-14,8,61820,6005417,Del Norte,Del Norte County Unified,Margaret Keating Elementary,N,,,K,6,80,70,71,88.8%,71,71,88.8%,75,67,68,90.7%,68,68,90.7%,Y
2013-14,8,61820,6005425,Del Norte,Del Norte County Unified,Mountain Elementary,N,,,K,8,30,19,19,63.3%,21,21,70.0%,30,19,19,63.3%,21,21,70.0%,Y
2013-14,8,61820,6005433,Del Norte,Del Norte County Unified,Pine Grove Elementary,N,,,K,5,243,162,163,67.1%,180,181,74.5%,241,160,161,66.8%,178,179,74.3%,Y
2013-14,8,61820,6005441,Del Norte,Del Norte County Unified,Redwood Elementary,N,,,K,8,504,216,217,43.1%,245,246,48.8%,501,215,216,43.1%,244,245,48.9%,Y
2013-14,8,61820,6005458,Del Norte,Del Norte County Unified,Smith River Elementary,N,,,K,8,242,194,194,80.2%,206,206,85.1%,238,190,190,79.8%,202,202,84.9%,Y
2013-14,8,61820,6113013,Del Norte,Del Norte County Unified,Mary Peacock Elementary,N,,,K,5,353,178,178,50.4%,196,196,55.5%,343,175,175,51.0%,192,192,56.0%,Y
2013-14,9,10090,1,El Dorado,El Dorado County Office of Education,"Nonpublic, Nonsectarian Schools",N,,,,,16,16,16,100.0%,16,16,100.0%,16,16,16,100.0%,16,16,100.0%,Y
2013-14,9,10090,106047,El Dorado,El Dorado County Office of Education,Blue Ridge,N,,,K,12,12,12,12,100.0%,12,12,100.0%,11,11,11,100.0%,11,11,100.0%,Y
2013-14,9,10090,111716,El Dorado,El Dorado County Office of Education,El Dorado COE Charter Community Day,N,782,Not in CS funding model,K,6,5,3,3,60.0%,3,3,60.0%,5,3,3,60.0%,3,3,60.0%,Y
2013-14,9,10090,123521,El Dorado,El Dorado County Office of Education,Charter Alternative Program (CAP),N,360,Not in CS funding model,K,8,170,24,24,14.1%,32,32,18.8%,169,23,23,13.6%,31,31,18.3%,Y
2013-14,9,10090,930016,El Dorado,El Dorado County Office of Education,Golden Ridge,N,,,K,12,14,14,14,100.0%,14,14,100.0%,14,14,14,100.0%,14,14,100.0%,Y
2013-14,9,10090,930123,El Dorado,El Dorado County Office of Education,Charter Community School Home Study Academy,N,5,Locally funded,7,12,465,121,125,26.9%,149,153,32.9%,443,112,116,26.2%,138,142,32.1%,Y
2013-14,9,10090,930131,El Dorado,El Dorado County Office of Education,Rite of Passage,N,53,Not in CS funding model,9,12,148,148,148,100.0%,148,148,100.0%,140,140,140,100.0%,140,140,100.0%,Y
2013-14,9,10090,6069470,El Dorado,El Dorado County Office of Education,Special Education,N,,,P,Adult,132,35,37,28.0%,36,38,28.8%,130,34,36,27.7%,35,37,28.5%,Y
2013-14,9,61838,1,El Dorado,Buckeye Union Elementary,"Nonpublic, Nonsectarian Schools",N,,,,,7,0,0,0.0%,0,0,0.0%,7,0,0,0.0%,0,0,0.0%,Y
2013-14,9,61838,100024,El Dorado,Buckeye Union Elementary,Oak Meadow Elementary,N,,,K,5,804,43,43,5.3%,53,53,6.6%,804,43,43,5.3%,53,53,6.6%,Y
2013-14,9,61838,107227,El Dorado,Buckeye Union Elementary,Charter Montessori Blue Oak Campus,N,665,Locally funded,K,4,238,28,28,11.8%,45,45,18.9%,238,28,28,11.8%,45,45,18.9%,Y
2013-14,9,61838,111724,El Dorado,Buckeye Union Elementary,California Montessori Project-Shingle Springs Campus,N,774,Directly funded,K,8,366,17,18,4.9%,29,30,8.2%,366,17,18,4.9%,29,30,8.2%,Y
2013-14,9,61838,6005466,El Dorado,Buckeye Union Elementary,Buckeye Elementary,N,,,K,5,425,131,133,31.3%,159,161,37.9%,425,131,133,31.3%,159,161,37.9%,Y
2013-14,9,61838,6005474,El Dorado,Buckeye Union Elementary,William Brooks Elementary,N,,,K,5,473,33,33,7.0%,47,47,9.9%,465,33,33,7.1%,46,46,9.9%,Y
2013-14,9,61838,6096614,El Dorado,Buckeye Union Elementary,Camerado Springs Middle,N,,,6,8,580,93,93,16.0%,119,119,20.5%,580,93,93,16.0%,119,119,20.5%,Y
2013-14,9,61838,6107361,El Dorado,Buckeye Union Elementary,Blue Oak Elementary,N,,,K,5,567,105,106,18.7%,133,134,23.6%,552,104,104,18.8%,131,131,23.7%,Y
2013-14,9,61838,6110456,El Dorado,Buckeye Union Elementary,Silva Valley Elementary,N,,,K,5,620,44,44,7.1%,48,48,7.7%,601,44,44,7.3%,48,48,8.0%,Y
2013-14,9,61838,6112361,El Dorado,Buckeye Union Elementary,Rolling Hills Middle,N,,,6,8,1005,58,59,5.9%,71,72,7.2%,1005,58,59,5.9%,71,72,7.2%,Y
2013-14,9,61846,123125,El Dorado,Camino Union Elementary,Camino Science and Natural Resources Charter,N,1150,Directly funded,K,8,102,21,21,20.6%,25,25,24.5%,102,21,21,20.6%,25,25,24.5%,Y
2013-14,9,61846,6005482,El Dorado,Camino Union Elementary,Camino Elementary,N,,,K,8,442,206,207,46.8%,231,231,52.3%,432,200,201,46.5%,225,225,52.1%,Y
2013-14,9,61853,1,El Dorado,El Dorado Union High,"Nonpublic, Nonsectarian Schools",N,,,,,11,3,3,27.3%,3,3,27.3%,8,3,3,37.5%,3,3,37.5%,Y
2013-14,9,61853,101808,El Dorado,El Dorado Union High,Mountain View High,N,,,9,12,28,12,12,42.9%,14,14,50.0%,18,6,6,33.3%,8,8,44.4%,Y
2013-14,9,61853,930081,El Dorado,El Dorado Union High,Oak Ridge High,N,,,9,12,2345,103,106,4.5%,138,141,6.0%,2277,97,100,4.4%,131,134,5.9%,Y
2013-14,9,61853,930164,El Dorado,El Dorado Union High,Union Mine High,N,,,9,12,1069,267,269,25.2%,318,320,29.9%,1025,251,253,24.7%,299,301,29.4%,Y
2013-14,9,61853,930206,El Dorado,El Dorado Union High,EDUSHD Community Day,N,,,9,12,6,4,4,66.7%,5,5,83.3%,6,4,4,66.7%,5,5,83.3%,Y
2013-14,9,61853,930214,El Dorado,El Dorado Union High,EDUHSD Virtual Academy at Shenandoah,N,366,Locally funded,9,12,63,5,5,7.9%,7,7,11.1%,58,4,4,6.9%,6,6,10.3%,Y
2013-14,9,61853,930222,El Dorado,El Dorado Union High,Vista High,N,,,9,12,53,24,26,49.1%,26,27,50.9%,49,22,24,49.0%,24,25,51.0%,Y
